,Date,Article,Page_url,Source
1,2020-04-05 23:59:42+00:00,British Prime Minister Boris Johnson Hospitalized 10 Days After COVID-19 Diagnosis,https://www.complex.com/life/2020/04/boris-johnson-hospitalized-coronavirus,http://www.complex.com/
2,2020-04-05 23:59:36+00:00,NSW coronavirus death toll hits 18 as cases rise to 2637,https://www.sbs.com.au/news/nsw-coronavirus-death-toll-hits-18-as-cases-rise-to-2637,http://www.sbs.com.au/
3,2020-04-05 23:59:32+00:00,"Industry in Chandigarh will need major impetus by government post lockdown, say businessmen",https://www.hindustantimes.com/chandigarh/industry-in-chandigarh-will-need-major-impetus-by-government-post-lockdown-say-businessmen/story-qjZfuVfUg0pQGoUtAutqtM.html,http://www.hindustantimes.com/
4,2020-04-05 23:59:32+00:00,"Coronavirus in Chandigarh: Follow advisories, one cannot be too careful, says 23-year-old discharged patient",https://www.hindustantimes.com/chandigarh/coronavirus-in-chandigarh-follow-advisories-one-cannot-be-too-careful-says-23-year-old-discharged-patient/story-aguXKfYoq8U7SQmcpl7zbJ.html,http://www.hindustantimes.com/
5,2020-04-05 23:59:32+00:00,Crackers sound jarring note as Chandigarh tricity lights up on PM Modi’s solemn plea,https://www.hindustantimes.com/chandigarh/crackers-sound-jarring-note-as-chandigarh-tricity-lights-up-on-pm-modi-s-solemn-plea/story-ofebPRojCEH0Smhky0FU2L.html,http://www.hindustantimes.com/
6,2020-04-05 23:59:32+00:00,48% Covid-19 positive patients in Chandigarh tricity aged between 21-40,https://www.hindustantimes.com/chandigarh/48-covid-19-positive-patients-in-chandigarh-tricity-aged-between-21-40/story-IQclQ9YZPD5MpRMfPfXUhO.html,http://www.hindustantimes.com/
7,2020-04-05 23:59:28+00:00,Covid 19 coronavirus: Huge price hikes for essential goods during lockdown,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12322746&amp;ref=rss,http://www.nzherald.co.nz/
8,2020-04-05 23:59:18+00:00,"Holy Week rites worldwide disrupted, but not spirit",https://newsinfo.inquirer.net/1254374/holy-week-rites-worldwide-disrupted-but-not-spirit/amp,http://www.inquirer.net/
9,2020-04-05 23:59:18+00:00,Crucifixion site on lockdown to block penitents,https://newsinfo.inquirer.net/1254377/crucifixion-site-on-lockdown-to-block-penitents/amp,http://www.inquirer.net/
10,2020-04-05 23:59:18+00:00,COVID-19 patients to waive confidentiality,https://newsinfo.inquirer.net/1254364/covid-19-patients-to-waive-confidentiality/amp,http://www.inquirer.net/
11,2020-04-05 23:59:18+00:00,"Bishop: Holy Week is about love, not rituals",https://newsinfo.inquirer.net/1254372/bishop-holy-week-is-about-love-not-rituals/amp,http://www.inquirer.net/
12,2020-04-05 23:59:18+00:00,Christianity’s most somber time spent somberly,https://newsinfo.inquirer.net/1254369/christianitys-most-somber-time-spent-somberly/amp,http://www.inquirer.net/
13,2020-04-05 23:59:18+00:00,Fighting a pandemic: When healers need healing themselves,https://newsinfo.inquirer.net/1254379/when-healers-need-healing-themselves/amp,http://www.inquirer.net/
14,2020-04-05 23:58:52+00:00,"Zoombombing is a crime, not a prank, prosecutors warn",https://arstechnica.com/?p=1665930,http://arstechnica.com/
15,2020-04-05 23:58:41+00:00,Boris Johnson spends night in hospital as he battles coronavirus,https://www.itv.com/news/2020-04-06/boris-johnson-spends-night-in-hospital-as-he-battles-coronavirus/,http://www.itv.com/
16,2020-04-05 23:58:40+00:00,Bronx Zoo Tiger Is First of Its Kind to Test Positive For Coronavirus,https://slate.com/news-and-politics/2020/04/bronx-zoo-tiger-tests-positive-coronavirus.html?via=rss,http://www.slate.com/
17,2020-04-05 23:58:40+00:00,WEEKLY ROUND-UP: Sports happenings in Singapore (30 March-5 April),https://sg.news.yahoo.com/weekly-roundup-sports-happenings-in-singapore-30-march-5-april-233007098.html,https://sg.news.yahoo.com/
18,2020-04-05 23:58:31+00:00,Ecuador city runs out of coffins amid coronavirus crisis,http://www.straitstimes.com/world/americas/ecuador-city-runs-out-of-coffins-amid-coronavirus-crisis,http://www.straitstimes.com/
19,2020-04-05 23:57:57+00:00,Why John Dickerson wrote about acknowledging each other's grief as the coronavirus takes its toll,http://feeds.cbsnews.com/~r/CBSNewsMain/~3/puktkAcVnJA/,http://www.cbsnews.com/
20,2020-04-05 23:57:53+00:00,Tiger tests positive for coronavirus at NYC’s Bronx Zoo,https://www.news.com.au/world/north-america/coronavirus-tiger-in-bronx-zoo-tests-positive-to-covid19/news-story/0b2984f881d76ff3f2ab4722e07e8ffd,http://www.news.com.au/
21,2020-04-05 23:57:52+00:00,Coles launches its own $80 groceries box to rival Woolworths,https://www.news.com.au/lifestyle/health/health-problems/coronavirus-coles-releases-80-community-box-following-woolworths/news-story/3786c87a9d4b9a02681dc0095d89412a,http://www.news.com.au/
22,2020-04-05 23:57:29+00:00,‘I Felt A Real Pain In My Heart For My Country’: David Benham Arrested Outside NC Abortion Clinic Over Coronavirus Orders,https://dailycaller.com/2020/04/05/coronavirus-david-benham-pastor-arrested-abortion-clinic-unconstitutional-ted-cruz-north-carolina/,http://www.dailycaller.com/
23,2020-04-05 23:57:25+00:00,Trump Says Nearly 1.7Mln US Citizens Underwent Tests For Coronavirus,https://www.urdupoint.com/en/world/trump-says-nearly-17mln-us-citizens-underwen-884724.html,https://www.urdupoint.com/
