,words,count
5,Coronavirus,106296
39,India,50625
302,China,41648
22,Trump,34654
25,US,23471
285,U.S.,18947
166,UK,9223
330,Chinese,9159
1235,Japan,8149
283,Italy,8115
48,Australia,8031
87,New York,7451
346,Delhi,6685
432,Hong Kong,5972
1024,Wuhan,5544
339,Covid,5530
950,California,5427
232,New,5403
724,Amazon,5328
282,Europe,5319
565,Canada,5300
472,White House,5148
1258,COVID,5142
617,Iran,5098
887,Russia,5005
601,England,4946
2348,EU,4810
1307,Florida,4782
12164,Call Transcript,4735
378,France,4729
236,Opinion,4704
1139,Results,4701
296,NHS,4675
809,Spain,4573
309,Biden,4551
174,Pandemic,4486
113,Apple,4423
82,Indian,4371
325,Brazil,4327
1,Boris Johnson,4167
1047,People,4149
221,NYSE,4049
499,Lockdown,3990
269,Britain,3953
466,Germany,3933
310,Mumbai,3856
165,Oil,3836
357,Texas,3831
3815,South Korea,3805
761,Virus,3748
220,America,3734
215,Donald Trump,3698
17,NYC,3562
13,Singapore,3535
0,British,3530
485,Russian,3409
1298,London,3388
1614,European,3369
701,Facebook,3366
1213,Coronavirus Pandemic,3326
