,words,count
0,China,418
1,India,394
2,Video,307
3,Chinese,247
4,Italy,244
5,Facebook,238
6,Wuhan,184
7,Coronavirus,178
8,Indian,160
9,Italian,157
10,Spain,143
11,WHO,134
12,Brazil,129
14,WhatsApp,122
13,Brazilian,122
15,Bill Gates,110
16,US,98
17,American,89
18,Image,82
19,Spanish,79
20,French,76
21,Photo,74
22,Donald Trump,73
23,France,70
24,Health,70
25,U.S.,70
26,Muslim,63
27,United States,62
28,Madrid,59
29,São Paulo,59
30,Twitter,58
31,YouTube,55
32,Colombia,53
33,Muslims,51
34,Claim,50
35,Ecuador,46
36,Mumbai,46
37,Mexico,45
39,German,42
38,Argentina,42
40,Germany,40
41,Philippines,40
42,Trump,40
43,Russia,39
44,Sri Lanka,38
45,Delhi,35
46,Japanese,34
47,Japan,34
48,Bill,33
49,Taiwan,33
50,USA,33
51,Kenya,33
52,Russian,32
53,Israel,31
54,CDC,30
55,Rodrigo Duterte,29
56,Vitamin,29
57,Africa,28
58,Turkey,28
59,Nigeria,27
